title,description,priority,category
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Invalid credentials error,System shows invalid credentials error even for valid users.,Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Login stuck on loading,"Login page stuck on loading spinner, user cannot proceed.",Medium,Login
Login timeout,"Login request times out after multiple attempts, access blocked.",High,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Authentication error,"Authentication service returns error, multiple users affected.",High,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Login fails after password reset,"Login fails even after password reset, user cannot access account.",High,Login
Unable to login,"User unable to login using correct credentials, access completely blocked.",High,Login
Session expires immediately,User logged in successfully but session expires immediately.,Medium,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
MFA code not working,"Multi-factor authentication code rejected, user unable to login.",Low,Login
Account locked after login attempts,Account locked unexpectedly after few login attempts.,Critical,Login
Login page unresponsive,Login page loads but submit button does not respond.,Low,Login
